nama_rs,kota,provinsi,kelas,tipe,alamat,telepon,jam_operasional
RS Cipto Mangunkusumo,Jakarta Pusat,DKI Jakarta,A,Pemerintah,"Jl. Diponegoro No.71",(021) 500135,24 Jam
RS Fatmawati,Jakarta Selatan,DKI Jakarta,A,Pemerintah,"Jl. TB Simatupang No.1",(021) 7660552,24 Jam
RS Premier Bintaro,Tangerang Selatan,Banten,B,Swasta,"Jl. MH Thamrin No.1",(021) 27519999,24 Jam
RS Hermina Depok,Depok,Jawa Barat,B,Swasta,"Jl. Raya Siliwangi No.50",(021) 7720689,24 Jam
RS Hasan Sadikin,Bandung,Jawa Barat,A,Pemerintah,"Jl. Pasteur No.38",(022) 2034953,24 Jam
RS Dr. Kariadi,Semarang,Jawa Tengah,A,Pemerintah,"Jl. Dr. Sutomo No.16",(024) 8413476,24 Jam
RS Dr. Soetomo,Surabaya,Jawa Timur,A,Pemerintah,"Jl. Mayjen Prof. Dr. Moestopo No.6",(031) 5501078,24 Jam
RS Siloam Surabaya,Surabaya,Jawa Timur,B,Swasta,"Jl. Raya Gubeng No.70",(031) 5031111,24 Jam
RS Sanglah,Denpasar,Bali,A,Pemerintah,"Jl. Diponegoro No.1",(0361) 227911,24 Jam
RS Panti Rapih,Yogyakarta,DI Yogyakarta,B,Swasta,"Jl. Cik Di Tiro No.30",(0274) 514845,24 Jam
